postal_code,city,county,district
1000,서울,강북구,우이동
1001,서울,강북구,우이동
1002,서울,강북구,우이동
1003,서울,강북구,우이동
1004,서울,강북구,우이동
1005,서울,강북구,우이동
1006,서울,강북구,우이동
1007,서울,강북구,우이동
1008,서울,강북구,우이동
1009,서울,강북구,수유동
1010,서울,강북구,수유동
1011,서울,강북구,수유동
1012,서울,강북구,수유동
1013,서울,강북구,수유동
1014,서울,강북구,수유동
1015,서울,강북구,수유동
1016,서울,강북구,수유동
1017,서울,강북구,수유동
1018,서울,강북구,수유동
1019,서울,강북구,수유동
1020,서울,강북구,수유동
1021,서울,강북구,수유동
1022,서울,강북구,수유동
1023,서울,강북구,수유동
1024,서울,강북구,수유동
1025,서울,강북구,수유동
1026,서울,강북구,수유동
1027,서울,강북구,수유동
1028,서울,강북구,수유동
1029,서울,강북구,수유동
1030,서울,강북구,수유동
1031,서울,강북구,수유동
1032,서울,강북구,수유동
1033,서울,강북구,수유동
1034,서울,강북구,수유동
1035,서울,강북구,수유동
1036,서울,강북구,수유동
1037,서울,강북구,수유동
1038,서울,강북구,수유동
1039,서울,강북구,수유동
1040,서울,강북구,수유동
1041,서울,강북구,수유동
1042,서울,강북구,수유동
1043,서울,강북구,수유동
1044,서울,강북구,수유동
1045,서울,강북구,수유동
1046,서울,강북구,수유동
1047,서울,강북구,수유동
1048,서울,강북구,수유동
1049,서울,강북구,수유동
1050,서울,강북구,수유동
1051,서울,강북구,수유동
1052,서울,강북구,수유동
1053,서울,강북구,수유동
1054,서울,강북구,수유동
1055,서울,강북구,수유동
1056,서울,강북구,번동
1057,서울,강북구,번동
1058,서울,강북구,번동
1059,서울,강북구,번동
1060,서울,강북구,번동
1061,서울,강북구,번동
1062,서울,강북구,번동
1063,서울,강북구,번동
1064,서울,강북구,번동
1065,서울,강북구,번동
1066,서울,강북구,번동
1067,서울,강북구,번동
1068,서울,강북구,번동
1069,서울,강북구,번동
1070,서울,강북구,수유동
1071,서울,강북구,수유동
1072,서울,강북구,수유동
1073,서울,강북구,수유동
1074,서울,강북구,수유동
1075,서울,강북구,수유동
1076,서울,강북구,수유동
1077,서울,강북구,수유동
1078,서울,강북구,수유동
1079,서울,강북구,수유동
1080,서울,강북구,수유동
1081,서울,강북구,수유동
1082,서울,강북구,수유동
1083,서울,강북구,수유동
1084,서울,강북구,수유동
1085,서울,강북구,수유동
1086,서울,강북구,수유동
1087,서울,강북구,수유동
1088,서울,강북구,수유동
1089,서울,강북구,수유동
1090,서울,강북구,수유동
1091,서울,강북구,수유동
1092,서울,강북구,수유동
1093,서울,강북구,수유동
1094,서울,강북구,수유동
1095,서울,강북구,수유동
1096,서울,강북구,수유동
1097,서울,강북구,수유동
1098,서울,강북구,수유동
1099,서울,강북구,수유동
1100,서울,강북구,수유동
1101,서울,강북구,수유동
1102,서울,강북구,수유동
1103,서울,강북구,수유동
1104,서울,강북구,미아동
1105,서울,강북구,수유동
1106,서울,강북구,수유동
1107,서울,강북구,미아동
1108,서울,강북구,미아동
1109,서울,강북구,미아동
1110,서울,강북구,미아동
1111,서울,강북구,수유동
1112,서울,강북구,수유동
1113,서울,강북구,수유동
1114,서울,강북구,수유동
1115,서울,강북구,수유동
1116,서울,강북구,수유동
1117,서울,강북구,수유동
1118,서울,강북구,미아동
1119,서울,강북구,미아동
1120,서울,강북구,미아동
1121,서울,강북구,미아동
1122,서울,강북구,미아동
1123,서울,강북구,미아동
1124,서울,강북구,미아동
1125,서울,강북구,미아동
1126,서울,강북구,미아동
1127,서울,강북구,미아동
1128,서울,강북구,미아동
