index,우편번호,주소,실시간빠른길,편한길,최적경로,무료우선,second_highest
27565,50844,경상남도 김해시 인제로 113,235.88,246.9,246.9,260.98,246.9
27566,50845,경상남도 김해시 안곡로 141,233.69,249.63,233.69,252.13,249.63
27567,50846,경상남도 김해시 장방로 233,234.17,234.17,234.17,241.61,234.17
27568,50847,경상남도 김해시 장재로 117,228.69,228.69,228.69,243.65,228.69
27569,50848,경상남도 김해시 한림로252번길 27,229.28,257.77,229.28,248.58,248.58
27570,50849,경상남도 김해시 본산로269번길 41,234.51,234.51,234.51,240.99,234.51
27571,50850,경상남도 김해시 명동산단안길 18,235.0,235.0,235.0,243.35,235.0
27572,50851,경상남도 김해시 한림로120번길 3,230.92,254.59,237.05,245.4,245.4
27573,50852,경상남도 김해시 안곡로333번길 12,232.13,241.39,232.13,249.74,241.39
27574,50853,경상남도 김해시 김해대로1433번길 2,238.48,238.48,238.48,246.83,238.48
27575,50854,경상남도 김해시 본산로193번길 16,233.1,233.1,233.1,237.99,233.1
27576,50855,경상남도 김해시 본산로269번길 71,234.3,234.3,234.3,240.79,234.3
27577,50856,경상남도 김해시 본산2로110번안길 29,233.74,233.74,233.74,239.43,233.74
27578,50857,경상남도 김해시 본산1로 51,232.72,232.72,232.72,237.53,232.72
27579,50858,경상남도 김해시 본산로125번길 47,228.56,228.56,228.56,236.85,228.56
27580,50859,경상남도 김해시 진산대로 234,226.54,228.89,228.89,234.96,228.89
27581,50860,경상남도 김해시 김해대로157번길 1,225.34,225.34,225.34,237.49,225.34
27582,50861,경상남도 김해시 진산대로 65,227.24,227.24,227.24,235.49,227.24
27583,50862,경상남도 김해시 김해대로407번길 24,227.67,227.67,227.67,236.48,227.67
27584,50863,경상남도 김해시 본산로 28,228.43,228.43,228.43,236.95,228.43
27585,50864,경상남도 김해시 김해대로 464,228.98,228.98,228.98,239.06,228.98
27586,50865,경상남도 김해시 여래로20번길 12,227.83,227.83,227.83,237.91,227.83
27587,50866,경상남도 김해시 김해대로332번길 38,226.95,226.95,226.95,237.03,226.95
27588,50867,경상남도 김해시 진영로184번길 5,227.35,227.35,227.35,237.82,227.35
27589,50868,경상남도 김해시 진영산복로 190,227.98,227.98,227.98,238.68,227.98
27590,50869,경상남도 김해시 상룡3길 22,233.79,233.79,233.79,243.14,233.79
27591,50870,경상남도 김해시 서부로396번길 61,230.96,230.96,230.96,245.37,230.96
27592,50871,경상남도 김해시 하계로105번길 6,224.97,224.97,224.97,239.71,224.97
27593,50872,경상남도 김해시 진례로 307,231.86,231.86,231.86,245.28,231.86
27594,50873,경상남도 김해시 송현로47번길 7,232.69,232.69,232.69,246.12,232.69
27595,50874,경상남도 김해시 진례로223번길 77,233.58,233.58,233.58,247.0,233.58
27596,50875,경상남도 김해시 고모로526번길 51,233.62,233.62,233.62,246.39,233.62
27597,50876,경상남도 김해시 하이테크로 108,236.53,236.53,236.53,250.5,236.53
