type,(모두),,,,,department,(모두),,,,,,,,,,,,,,,,,,,,,,
status,(모두),,,,,type,(모두),,,,,,,,,,,,,,,,,,,,,,
Count,1,,,,,status,(모두),,,,,,,,,,,,,,,,,,,,,,
,,,,,,Count,(모두),,,,,,,,,,,,,,,,,,,,,,
개수 : order_no,department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week,CS,총합계,,,,개수 : order_no,Hour,,,,,,,,,,,,,,,,,,,,,,
WK50,56,56,,,,IOH/OOH,0,1,2,3,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,총합계
WK51,86,86,,,,IOH,,,,,,,1,19,61,11,22,36,26,15,17,27,27,,,,,,262
WK52,51,51,,,,OOH,1,1,2,2,1,2,,,,,,,,,,,,7,6,8,6,5,41
WK53,18,18,,,,총합계,1,1,2,2,1,2,1,19,61,11,22,36,26,15,17,27,27,7,6,8,6,5,303
WK1,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK2,69,69,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK3,65,65,,,,department,(모두),,,,,,,,,,,,,,,,,,,,,,
WK4,106,106,,,,type,(모두),,,,,,,,,,,,,,,,,,,,,,
WK5,19,19,,,,status,(모두),,,,,,,,,,,,,,,,,,,,,,
WK6,82,82,,,,Count,(모두),,,,,,,,,,,,,,,,,,,,,,
WK7,69,69,,,,IOH/OOH,IOH,,,,,,,,,,,,,,,,,,,,,,
WK8,69,69,,,,Weekend,N,,,,,,,,,,,,,,,,,,,,,,
WK9,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,
총합계,808,808,,,,개수 : order_no,Hour,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Day,8,9,10,11,12,13,14,15,16,17,18,총합계,,,,,,,,,,,
,,,,,,Sun,,2,,,,,,,,,1,3,,,,,,,,,,,
,,,,,,Mon,,5,15,9,17,22,20,13,16,20,11,148,,,,,,,,,,,
,,,,,,Tue,2,7,30,6,9,21,11,10,11,18,11,136,,,,,,,,,,,
,,,,,,Wed,,8,25,11,13,21,15,8,6,14,15,136,,,,,,,,,,,
,,,,,,Thu,,7,30,10,13,19,25,7,5,14,8,138,,,,,,,,,,,
,,,,,,Fri,1,14,43,8,16,18,18,7,11,9,7,152,,,,,,,,,,,
,,,,,,총합계,3,43,143,44,68,101,89,45,49,75,53,713,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,department,(모두),,,,,,,,,,,,,,,,,,,,,,
,,,,,,type,(모두),,,,,,,,,,,,,,,,,,,,,,
,,,,,,status,(모두),,,,,,,,,,,,,,,,,,,,,,
,,,,,,Count,(모두),,,,,,,,,,,,,,,,,,,,,,
,,,,,,IOH/OOH,OOH,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Weekend,N,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,개수 : order_no,Hour,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Day,0,1,2,3,5,7,19,20,21,22,23,총합계,,,,,,,,,,,
,,,,,,Sun,1,1,2,,,,,,,,,4,,,,,,,,,,,
,,,,,,Mon,,,,,,,3,5,2,2,3,15,,,,,,,,,,,
,,,,,,Tue,4,,,,,,2,2,2,3,3,16,,,,,,,,,,,
,,,,,,Wed,,1,,1,1,,3,2,,6,1,15,,,,,,,,,,,
,,,,,,Thu,2,1,,,,2,7,3,2,,2,19,,,,,,,,,,,
,,,,,,Fri,1,1,,,,,5,1,3,1,3,15,,,,,,,,,,,
,,,,,,총합계,8,4,2,1,1,2,20,13,9,12,12,84,,,,,,,,,,,
